"new_date";"Fecha_tradeo";"Volume_AAPL";"Close_AAPL"
"5/6/2022";"5/6/2022";116124600;157.279999
"5/9/2022";"5/9/2022";131577900;152.059998
"5/12/2022";"5/12/2022";182602000;142.559998
"5/13/2022";"5/13/2022";113990900;147.110001
"5/19/2022";"5/19/2022";136095600;137.350006
"5/20/2022";"5/20/2022";137426100;137.589996
"5/23/2022";"5/23/2022";117726300;143.110001
"6/2/2022";"6/2/2022";72348100;151.210007
"6/3/2022";"6/3/2022";88570300;145.380005
"6/6/2022";"6/6/2022";71598400;146.139999
"6/7/2022";"6/7/2022";67808200;148.710007
"6/9/2022";"6/9/2022";69473000;142.639999
"6/10/2022";"6/10/2022";91437900;137.130005
"6/13/2022";"6/13/2022";122207100;131.880005
"6/14/2022";"6/14/2022";84784300;132.759995
"6/16/2022";"6/16/2022";108123900;130.059998
"6/17/2022";"6/17/2022";134520300;131.559998
"6/21/2022";"6/21/2022";81000500;135.869995
"6/23/2022";"6/23/2022";72433800;138.270004
"6/24/2022";"6/24/2022";89116800;141.660004
"6/28/2022";"6/28/2022";67083400;137.440002
"6/30/2022";"6/30/2022";98964500;136.720001
"7/1/2022";"7/1/2022";71051600;138.929993
"7/5/2022";"7/5/2022";73353800;141.559998
"7/7/2022";"7/7/2022";66253700;146.350006
"7/8/2022";"7/8/2022";64547800;147.039993
"7/11/2022";"7/11/2022";63141600;144.869995
"7/12/2022";"7/12/2022";77588800;145.860001
"7/14/2022";"7/14/2022";78140700;148.470001
"7/15/2022";"7/15/2022";76259900;150.169998
"7/18/2022";"7/18/2022";81420900;147.070007
"7/19/2022";"7/19/2022";82982400;151
"7/21/2022";"7/21/2022";65086600;155.350006
"7/22/2022";"7/22/2022";66675400;154.089996
"7/25/2022";"7/25/2022";53623900;152.949997
"7/26/2022";"7/26/2022";55138700;151.600006
"7/28/2022";"7/28/2022";81378700;157.350006
"7/29/2022";"7/29/2022";101786900;162.509995
"8/1/2022";"8/1/2022";67829400;161.509995
"8/2/2022";"8/2/2022";59907000;160.009995
"8/4/2022";"8/4/2022";55474100;165.809998
"8/5/2022";"8/5/2022";56697000;165.350006
"8/8/2022";"8/8/2022";60276900;164.869995
"8/9/2022";"8/9/2022";63135500;164.919998
"8/11/2022";"8/11/2022";57149200;168.490005
"8/12/2022";"8/12/2022";68039400;172.100006
"8/15/2022";"8/15/2022";54091700;173.190002
"8/16/2022";"8/16/2022";56377100;173.029999
"8/18/2022";"8/18/2022";62290100;174.149994
"8/19/2022";"8/19/2022";70346300;171.520004
"8/22/2022";"8/22/2022";69026800;167.570007
"8/23/2022";"8/23/2022";54147100;167.229996
"8/25/2022";"8/25/2022";51218200;170.029999
"8/26/2022";"8/26/2022";78961000;163.619995
"8/29/2022";"8/29/2022";73314000;161.380005
"8/30/2022";"8/30/2022";77906200;158.910004
"9/1/2022";"9/1/2022";74229900;157.960007
"9/2/2022";"9/2/2022";76957800;155.809998
"9/6/2022";"9/6/2022";73714800;154.529999
"9/8/2022";"9/8/2022";84923800;154.460007
"9/12/2022";"9/12/2022";104956000;163.429993
"9/15/2022";"9/15/2022";90481100;152.369995
"9/16/2022";"9/16/2022";162278800;150.699997
"9/19/2022";"9/19/2022";81474200;154.479996
"9/22/2022";"9/22/2022";86652500;152.740005
"9/23/2022";"9/23/2022";96029900;150.429993
"9/26/2022";"9/26/2022";93339400;150.770004
"9/29/2022";"9/29/2022";128138200;142.479996
"9/30/2022";"9/30/2022";124925300;138.199997
"10/3/2022";"10/3/2022";114311700;142.449997
"10/4/2022";"10/4/2022";87830100;146.100006
"10/6/2022";"10/6/2022";68402200;145.429993
"10/7/2022";"10/7/2022";85925600;140.089996
"10/10/2022";"10/10/2022";74899000;140.419998
"10/11/2022";"10/11/2022";77033700;138.979996
"10/13/2022";"10/13/2022";113224000;142.990005
"10/14/2022";"10/14/2022";88598000;138.380005
"10/17/2022";"10/17/2022";85250900;142.410004
"10/18/2022";"10/18/2022";99136600;143.75
"10/20/2022";"10/20/2022";64522000;143.389999
"10/21/2022";"10/21/2022";86548600;147.270004
"10/24/2022";"10/24/2022";75981900;149.449997
"10/25/2022";"10/25/2022";74732300;152.339996
"10/27/2022";"10/27/2022";109180200;144.800003
"10/28/2022";"10/28/2022";164762400;155.740005
"10/31/2022";"10/31/2022";97943200;153.339996
"11/1/2022";"11/1/2022";80379300;150.649994
"11/3/2022";"11/3/2022";97918500;138.880005
"11/7/2022";"11/7/2022";83374600;138.919998
"11/8/2022";"11/8/2022";89908500;139.5
"11/10/2022";"11/10/2022";118854000;146.869995
"11/11/2022";"11/11/2022";93979700;149.699997
"11/14/2022";"11/14/2022";73374100;148.279999
"11/15/2022";"11/15/2022";89868300;150.039993
"11/17/2022";"11/17/2022";80389400;150.720001
"11/18/2022";"11/18/2022";74829600;151.289993
"11/21/2022";"11/21/2022";58724100;148.009995
"11/22/2022";"11/22/2022";51804100;150.179993
"11/25/2022";"11/25/2022";35195900;148.110001
"11/28/2022";"11/28/2022";69246000;144.220001
"11/29/2022";"11/29/2022";83763800;141.169998
"12/1/2022";"12/1/2022";71250400;148.309998
"12/2/2022";"12/2/2022";65447400;147.809998
"12/5/2022";"12/5/2022";68826400;146.630005
"12/6/2022";"12/6/2022";64727200;142.910004
